date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:12	6021/6021	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2011%20Aug%202024%2004:33:42%20GMT	https://hanumanchalisas.com/wp-content/plugins/wp-rocket/assets/js/lcp-beacon.min.js	V:/clones/Clone%20site/hanumanchalisas.com/wp-content/plugins/wp-rocket/assets/js/lcp-beacon.min.js	(from https://hanumanchalisas.com/)
15:03:12	72394/72394	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:54:27%20GMT	https://hanumanchalisas.com/hanuman-chalisa-gujarati/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-gujarati/index.html	(from https://hanumanchalisas.com/)
15:03:13	72989/72989	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:54:27%20GMT	https://hanumanchalisas.com/hanuman-chalisa-kannada/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-kannada/index.html	(from https://hanumanchalisas.com/)
15:03:13	73224/73224	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:54:28%20GMT	https://hanumanchalisas.com/hanuman-chalisa-tamil/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-tamil/index.html	(from https://hanumanchalisas.com/)
15:03:13	72553/72553	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:46%20GMT	https://hanumanchalisas.com/hanuman-chalisa-bengali/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-bengali/index.html	(from https://hanumanchalisas.com/)
15:03:14	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267d49e82-302c%22	https://hanumanchalisas.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	V:/clones/Clone%20site/hanumanchalisas.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://hanumanchalisas.com/)
15:03:15	76510/76510	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:47%20GMT	https://hanumanchalisas.com/hanuman-chalisa-sanskrit/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-sanskrit/index.html	(from https://hanumanchalisas.com/)
15:03:16	72261/72261	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:48%20GMT	https://hanumanchalisas.com/hanuman-chalisa-punjabi/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-punjabi/index.html	(from https://hanumanchalisas.com/)
15:03:17	72943/72943	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:48%20GMT	https://hanumanchalisas.com/hanuman-chalisa-marathi/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-marathi/index.html	(from https://hanumanchalisas.com/)
15:03:17	71008/71008	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:49%20GMT	https://hanumanchalisas.com/hanuman-chalisa-odia/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-odia/index.html	(from https://hanumanchalisas.com/)
15:03:17	71337/71337	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:50%20GMT	https://hanumanchalisas.com/hanuman-chalisa-malayalam/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-malayalam/index.html	(from https://hanumanchalisas.com/)
15:03:19	72823/72823	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:50%20GMT	https://hanumanchalisas.com/hanuman-chalisa-assamese/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-assamese/index.html	(from https://hanumanchalisas.com/)
15:03:19	86351/86351	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:51%20GMT	https://hanumanchalisas.com/hanuman-chalisa-line-by-line-meaning-in-hindi/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-line-by-line-meaning-in-hindi/index.html	(from https://hanumanchalisas.com/)
15:03:20	84334/84334	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:52%20GMT	https://hanumanchalisas.com/sunderkand/	V:/clones/Clone%20site/hanumanchalisas.com/sunderkand/index.html	(from https://hanumanchalisas.com/)
15:03:20	75865/75865	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:52%20GMT	https://hanumanchalisas.com/hanuman-chalisa-line-by-line-meaning-in-english/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-line-by-line-meaning-in-english/index.html	(from https://hanumanchalisas.com/)
15:03:21	73842/73842	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:53%20GMT	https://hanumanchalisas.com/hanuman-chalisa-lyrics/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-lyrics/index.html	(from https://hanumanchalisas.com/)
15:03:21	65959/65959	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:54%20GMT	https://hanumanchalisas.com/hanuman-chalisa-path-hindi-me-photo/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-path-hindi-me-photo/index.html	(from https://hanumanchalisas.com/)
15:03:21	68346/68346	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:54%20GMT	https://hanumanchalisas.com/hanuman-ji-ki-aarti/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-ji-ki-aarti/index.html	(from https://hanumanchalisas.com/)
15:03:21	74044/74044	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:55%20GMT	https://hanumanchalisas.com/hanuman-chalisa-images/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-images/index.html	(from https://hanumanchalisas.com/)
15:03:21	43125/43125	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Mar%202025%2009:33:21%20GMT	https://hanumanchalisas.com/hanuman-chalisa-english/i	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-english/i	(from https://hanumanchalisas.com/hanuman-chalisa-english/)
15:03:22	91669/91669	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:56%20GMT	https://hanumanchalisas.com/hanuman-chalisa-mp3-download/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-chalisa-mp3-download/index.html	(from https://hanumanchalisas.com/)
15:03:22	67542/67542	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:56%20GMT	https://hanumanchalisas.com/hanuman-movies/	V:/clones/Clone%20site/hanumanchalisas.com/hanuman-movies/index.html	(from https://hanumanchalisas.com/)
15:03:22	77888/77888	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:57%20GMT	https://hanumanchalisas.com/12-rashi-anusar-hanuman-mantra/	V:/clones/Clone%20site/hanumanchalisas.com/12-rashi-anusar-hanuman-mantra/index.html	(from https://hanumanchalisas.com/)
15:03:23	1495/1495	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202024%2003:50:29%20GMT	https://hanumanchalisas.com/wp-content/themes/generatepress/assets/css/components/comments.min.css?ver=3.5.0	V:/clones/Clone%20site/hanumanchalisas.com/wp-content/themes/generatepress/assets/css/components/comments.min3b71.css	(from https://hanumanchalisas.com/hanuman-chalisa-english/)
15:03:24	73485/73485	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Jan%202025%2015:55:58%20GMT	https://hanumanchalisas.com/god-hanuman-puja-vidhi/	V:/clones/Clone%20site/hanumanchalisas.com/god-hanuman-puja-vidhi/index.html	(from https://hanumanchalisas.com/)
